position_id,time,symbol,profit,win,loss,cumulative_wins,cumulative_losses,cumulative_profit
57943567,2025-04-15 01:09:47,GBPNZD,4.7,1,0,1,0,4.7
57943601,2025-04-15 01:10:38,GBPNZD,9.39,1,0,2,0,14.09
